DPPressure,ROPenetration,WOBit,HLoad,WBoPressure,BTBR,WellDepth,FPress
622.1712,35.01055,9902.45,340093.2,6950.308,12678.94,12678.94,6796.198
622.0178,35.01315,9902.472,340093.5,6950.29,12678.94,12678.94,6796.198
621.8655,35.01629,9902.492,340093.8,6950.271,12678.94,12678.94,6796.198
621.7267,35.01973,9902.497,340093.9,6950.267,12678.94,12678.94,6796.198
621.5856,35.02327,9902.52,340094.3,6950.248,12678.94,12678.94,6796.198
621.439,35.02678,9902.541,340094.6,6950.229,12678.94,12678.94,6796.198
621.2916,35.03015,9902.562,340095.0,6950.211,12678.94,12678.94,6796.198
621.1448,35.02798,9776.226,340221.7,6950.193,12678.95,12678.95,6796.2
620.999,35.02099,9776.244,340222.0,6950.179,12678.95,12678.95,6796.2
620.854,35.01506,9776.263,340222.3,6950.163,12678.95,12678.95,6796.2
620.7097,35.01007,9776.281,340222.6,6950.147,12678.95,12678.95,6796.2
620.5662,35.00573,9776.299,340222.9,6950.132,12678.95,12678.95,6796.2
620.4235,35.00171,9776.316,340223.2,6950.117,12678.95,12678.95,6796.2
620.2819,34.99806,9790.631,340216.3,6950.102,12678.95,12678.95,6796.2
620.1412,34.99544,9804.943,340202.3,6950.087,12678.95,12678.95,6796.2
620.0015,34.99357,9819.256,340188.3,6950.073,12678.95,12678.95,6796.2
619.863,34.98677,9704.854,340302.9,6950.058,12678.96,12678.96,6796.202
619.7257,34.9757,9719.158,340288.9,6950.047,12678.96,12678.96,6796.202
619.5893,34.96634,9731.078,340274.9,6950.033,12678.96,12678.96,6796.202
619.4651,34.95835,9745.363,340263.1,6950.03,12678.96,12678.96,6796.202
619.3388,34.95161,9759.659,340249.1,6950.015,12678.96,12678.96,6796.202
619.2076,34.94582,9773.952,340235.0,6950.001,12678.96,12678.96,6796.202
619.0757,34.94073,9788.242,340221.0,6949.987,12678.96,12678.96,6796.202
618.9445,34.93616,9802.53,340207.0,6949.974,12678.96,12678.96,6796.202
618.8144,34.93204,9816.816,340193.0,6949.96,12678.96,12678.96,6796.202
618.6854,34.92301,9704.958,340305.1,6949.947,12678.96,12678.96,6796.205
618.5576,34.90999,9719.234,340291.1,6949.937,12678.96,12678.96,6796.205
618.4307,34.89875,9733.507,340277.1,6949.924,12678.96,12678.96,6796.205
618.3047,34.88911,9747.774,340263.0,6949.912,12678.96,12678.96,6796.205
618.1796,34.88077,9762.038,340249.0,6949.9,12678.96,12678.96,6796.205
618.0554,34.87344,9776.299,340235.0,6949.889,12678.96,12678.96,6796.205
617.8711,34.86393,9797.685,340213.9,6949.871,12678.96,12678.96,6796.205
617.8102,34.86111,9804.812,340206.9,6949.866,12678.96,12678.96,6796.205
617.6893,34.85593,9819.064,340192.9,6949.854,12678.96,12678.96,6796.205
617.5696,34.84595,9702.676,340307.1,6949.842,12678.96,12678.96,6796.207
617.4608,34.83186,9716.911,340295.3,6949.842,12678.96,12678.96,6796.207
617.3503,34.81973,9731.15,340281.3,6949.83,12678.96,12678.96,6796.207
617.1776,34.80479,9752.5,340260.3,6949.813,12678.96,12678.96,6796.207
617.0622,34.79653,9766.729,340246.3,6949.802,12678.96,12678.96,6796.207
616.9475,34.78931,9780.953,340232.3,6949.792,12678.96,12678.96,6796.207
616.8337,34.78297,9795.176,340218.3,6949.782,12678.96,12678.96,6796.207
616.7209,34.77742,9809.396,340204.3,6949.771,12678.96,12678.96,6796.207
616.6092,34.77256,9698.01,340190.3,6949.761,12678.97,12678.97,6796.209
616.4985,34.75812,9712.24,340302.1,6949.739,12678.97,12678.97,6796.209
616.3342,34.74009,9733.591,340281.8,6949.687,12678.97,12678.97,6796.209
616.2256,34.73039,9747.814,340268.2,6949.657,12678.97,12678.97,6796.209
616.1176,34.72218,9762.03,340254.5,6949.631,12678.97,12678.97,6796.209
616.0103,34.71517,9776.239,340240.7,6949.608,12678.97,12678.97,6796.209
615.9038,34.70916,9790.443,340226.9,6949.586,12678.97,12678.97,6796.209
615.7982,34.70403,9802.28,340213.1,6949.568,12678.97,12678.97,6796.209
615.6542,34.69743,9698.244,340194.7,6949.545,12678.98,12678.98,6796.211
615.5542,34.68369,9712.433,340306.1,6949.533,12678.98,12678.98,6796.211
615.4525,34.67192,9726.614,340292.2,6949.519,12678.98,12678.98,6796.211
615.3507,34.6621,9740.789,340278.2,6949.507,12678.98,12678.98,6796.211
615.1988,34.65037,9762.044,340257.3,6949.491,12678.98,12678.98,6796.211
615.0983,34.64411,9776.209,340243.3,6949.481,12678.98,12678.98,6796.211
614.9987,34.63885,9790.37,340229.3,6949.473,12678.98,12678.98,6796.211
614.8998,34.63445,9804.529,340215.3,6949.464,12678.98,12678.98,6796.211
614.8019,34.63081,9818.687,340201.3,6949.457,12678.98,12678.98,6796.211
614.6568,34.61624,9712.491,340307.7,6949.448,12678.98,12678.98,6796.214
614.5612,34.60518,9726.637,340293.7,6949.442,12678.98,12678.98,6796.214
614.4661,34.59605,9740.778,340279.7,6949.436,12678.98,12678.98,6796.214
614.3717,34.58858,9754.916,340265.7,6949.431,12678.98,12678.98,6796.214
614.278,34.58214,9769.051,340258.7,6949.425,12678.98,12678.98,6796.214
614.1855,34.57701,9780.827,340239.9,6949.421,12678.98,12678.98,6796.214
614.0605,34.57081,9802.022,340218.9,6949.414,12678.98,12678.98,6796.214
613.9713,34.56767,9816.15,340204.8,6949.409,12678.98,12678.98,6796.214
613.8818,34.56001,9705.446,340315.7,6949.403,12678.99,12678.99,6796.216
613.793,34.54867,9719.566,340301.6,6949.402,12678.99,12678.99,6796.216
613.6608,34.53531,9740.739,340280.6,6949.396,12678.99,12678.99,6796.216
613.5733,34.52819,9754.851,340273.5,6949.392,12678.99,12678.99,6796.216
613.4865,34.52271,9768.959,340252.5,6949.389,12678.99,12678.99,6796.216
613.3575,34.51642,9790.118,340231.4,6949.383,12678.99,12678.99,6796.216
613.2726,34.51329,9804.223,340217.4,6949.379,12678.99,12678.99,6796.216
613.1885,34.51088,9818.326,340203.4,6949.376,12678.99,12678.99,6796.216
613.1054,34.50383,9705.464,340316.3,6949.372,12678.99,12678.99,6796.218
612.9822,34.48832,9726.606,340295.3,6949.37,12678.99,12678.99,6796.218
612.9008,34.48038,9740.697,340281.2,6949.367,12678.99,12678.99,6796.218
612.8204,34.47399,9752.438,340269.5,6949.364,12678.99,12678.99,6796.218
612.7495,34.46878,9766.523,340255.5,6949.361,12678.99,12678.99,6796.218
612.6335,34.46299,9787.649,340234.5,6949.356,12678.99,12678.99,6796.218
612.5554,34.46024,9801.731,340220.5,6949.353,12678.99,12678.99,6796.218
612.4393,34.45749,9698.435,340199.4,6949.348,12679.0,12679.0,6796.22
612.3249,34.44149,9719.551,340302.8,6949.346,12679.0,12679.0,6796.22
612.2493,34.43321,9733.622,340288.8,6949.343,12679.0,12679.0,6796.22
612.1743,34.42669,9747.69,340274.8,6949.34,12679.0,12679.0,6796.22
612.0627,34.41949,9768.789,340253.8,6949.336,12679.0,12679.0,6796.22
611.989,34.41604,9782.853,340239.8,6949.333,12679.0,12679.0,6796.22
611.9161,34.41347,9796.915,340225.8,6949.331,12679.0,12679.0,6796.22
611.8439,34.41166,9810.977,340211.8,6949.328,12679.0,12679.0,6796.22
611.737,34.40493,9705.486,340317.3,6949.323,12679.0,12679.0,6796.223
611.6667,34.39507,9717.2,340303.3,6949.323,12679.0,12679.0,6796.223
611.6028,34.38698,9731.252,340291.6,6949.321,12679.0,12679.0,6796.223
611.504,34.37811,9752.325,340270.7,6949.317,12679.0,12679.0,6796.223
611.402,34.37223,9773.395,340249.7,6949.313,12679.0,12679.0,6796.223
611.3343,34.36956,9787.438,340235.7,6949.311,12679.0,12679.0,6796.223
611.2339,34.3671,9808.504,340214.7,6949.307,12679.0,12679.0,6796.223
611.1678,34.36631,9698.474,340200.7,6949.305,12679.01,12679.01,6796.225
611.0701,34.35167,9719.533,340303.8,6949.303,12679.01,12679.01,6796.225
611.0056,34.34426,9733.567,340289.8,6949.301,12679.01,12679.01,6796.225
610.9095,34.33631,9754.614,340268.8,6949.297,12679.01,12679.01,6796.225
610.8145,34.33122,9775.658,340247.8,6949.294,12679.01,12679.01,6796.225
610.7518,34.32903,9789.686,340233.8,6949.292,12679.01,12679.01,6796.225
610.6591,34.32724,9810.727,340212.8,6949.288,12679.01,12679.01,6796.225
610.5984,34.32681,9698.49,340201.2,6949.286,12679.01,12679.01,6796.227
610.5166,34.31253,9719.526,340304.2,6949.285,12679.01,12679.01,6796.227
610.4581,34.30541,9733.545,340290.2,6949.282,12679.01,12679.01,6796.227
610.3697,34.2979,9754.567,340269.2,6949.279,12679.01,12679.01,6796.227
610.3111,34.29456,9768.581,340255.3,6949.277,12679.01,12679.01,6796.227
610.2241,34.29144,9789.6,340234.3,6949.274,12679.01,12679.01,6796.227
610.1382,34.29015,9810.617,340213.3,6949.271,12679.01,12679.01,6796.227
610.0818,34.29013,9698.507,340199.4,6949.269,12679.02,12679.02,6796.229
609.9984,34.27642,9719.52,340304.5,6949.268,12679.02,12679.02,6796.229
609.916,34.26694,9740.524,340283.6,6949.265,12679.02,12679.02,6796.229
609.8341,34.26105,9761.524,340262.7,6949.262,12679.02,12679.02,6796.229
609.7801,34.25859,9775.522,340248.7,6949.26,12679.02,12679.02,6796.229
609.7003,34.25655,9794.187,340230.1,6949.257,12679.02,12679.02,6796.229
609.6537,34.25601,9808.184,340216.1,6949.255,12679.02,12679.02,6796.229
609.5779,34.25134,9705.521,340318.8,6949.251,12679.02,12679.02,6796.232
609.5269,34.24302,9719.514,340304.9,6949.252,12679.02,12679.02,6796.232
609.4508,34.23409,9740.498,340284.0,6949.25,12679.02,12679.02,6796.232
609.4003,34.23016,9754.484,340270.0,6949.248,12679.02,12679.02,6796.232
609.3252,34.22655,9775.463,340249.1,6949.245,12679.02,12679.02,6796.232
609.251,34.22505,9796.439,340228.2,6949.242,12679.02,12679.02,6796.232
609.2023,34.22501,9810.424,340214.2,6949.24,12679.02,12679.02,6796.232
609.1302,34.22091,9705.529,340319.2,6949.237,12679.03,12679.03,6796.234
609.0829,34.21284,9719.509,340305.2,6949.238,12679.03,12679.03,6796.234
609.0124,34.20429,9740.475,340284.3,6949.236,12679.03,12679.03,6796.234
608.9425,34.19928,9759.107,340263.4,6949.233,12679.03,12679.03,6796.234
608.9001,34.19721,9773.08,340251.8,6949.232,12679.03,12679.03,6796.234
608.835,34.19588,9794.039,340230.8,6949.229,12679.03,12679.03,6796.234
608.7681,34.19628,9814.998,340210.0,6949.227,12679.03,12679.03,6796.234
608.702,34.18814,9712.521,340312.5,6949.226,12679.03,12679.03,6796.236
608.6583,34.18139,9726.487,340298.5,6949.225,12679.03,12679.03,6796.236
608.5933,34.17461,9747.434,340277.6,6949.222,12679.03,12679.03,6796.236
608.5503,34.1719,9761.396,340263.7,6949.221,12679.03,12679.03,6796.236
608.4863,34.16985,9782.339,340242.8,6949.219,12679.03,12679.03,6796.236
608.4441,34.16957,9796.301,340228.9,6949.217,12679.03,12679.03,6796.236
608.3818,34.17052,9817.243,340208.0,6949.215,12679.03,12679.03,6796.236
608.3409,34.16671,9705.543,340319.7,6949.212,12679.04,12679.04,6796.239
608.2803,34.15609,9726.479,340298.8,6949.213,12679.04,12679.04,6796.239
608.2236,34.14939,9745.084,340280.3,6949.211,12679.04,12679.04,6796.239
608.1669,34.14585,9766.012,340259.3,6949.209,12679.04,12679.04,6796.239
608.1085,34.14466,9786.938,340238.5,6949.207,12679.04,12679.04,6796.239
608.0505,34.1453,9807.866,340217.6,6949.205,12679.04,12679.04,6796.239
608.0125,34.14656,9698.572,340203.7,6949.203,12679.04,12679.04,6796.241
607.9562,34.13509,9719.496,340306.0,6949.204,12679.04,12679.04,6796.241
607.9005,34.12773,9740.414,340285.2,6949.202,12679.04,12679.04,6796.241
607.8636,34.12482,9754.357,340271.2,6949.2,12679.04,12679.04,6796.241
607.8086,34.12268,9775.271,340250.3,6949.198,12679.04,12679.04,6796.241
607.7544,34.1226,9796.184,340229.5,6949.196,12679.04,12679.04,6796.241
607.7011,34.12416,9817.098,340208.6,6949.194,12679.04,12679.04,6796.241
607.6491,34.11689,9710.201,340315.5,6949.195,12679.05,12679.05,6796.243
607.6024,34.10806,9731.106,340294.7,6949.193,12679.05,12679.05,6796.243
607.5518,34.1031,9752.009,340273.8,6949.191,12679.05,12679.05,6796.243
607.501,34.101,9772.908,340252.9,6949.189,12679.05,12679.05,6796.243
607.4508,34.10099,9793.809,340232.1,6949.188,12679.05,12679.05,6796.243
607.4178,34.10194,9807.742,340218.2,6949.187,12679.05,12679.05,6796.243
607.3692,34.09943,9705.56,340320.4,6949.184,12679.05,12679.05,6796.245
607.3214,34.08982,9726.454,340299.5,6949.185,12679.05,12679.05,6796.245
607.2739,34.08423,9747.345,340278.7,6949.183,12679.05,12679.05,6796.245
607.2267,34.08176,9768.232,340257.8,6949.182,12679.05,12679.05,6796.245
607.1956,34.0814,9782.158,340243.9,6949.181,12679.05,12679.05,6796.245
607.1495,34.0824,9800.725,340223.0,6949.179,12679.05,12679.05,6796.245
607.1079,34.08464,9698.601,340204.5,6949.177,12679.06,12679.06,6796.248
607.0648,34.07384,9719.487,340306.7,6949.178,12679.06,12679.06,6796.248
607.0211,34.06718,9740.367,340285.8,6949.176,12679.06,12679.06,6796.248
606.9774,34.06401,9761.245,340265.0,6949.175,12679.06,12679.06,6796.248
606.9341,34.06336,9782.121,340244.1,6949.173,12679.06,12679.06,6796.248
606.8915,34.06462,9802.998,340223.3,6949.172,12679.06,12679.06,6796.248
606.8497,34.06741,9698.609,340202.4,6949.17,12679.06,12679.06,6796.25
606.8087,34.05684,9719.485,340306.8,6949.171,12679.06,12679.06,6796.25
606.7681,34.05043,9740.355,340286.0,6949.169,12679.06,12679.06,6796.25
606.7277,34.04752,9761.222,340265.2,6949.168,12679.06,12679.06,6796.25
606.6878,34.04702,9779.77,340246.6,6949.167,12679.06,12679.06,6796.25
606.652,34.04826,9800.637,340225.8,6949.166,12679.06,12679.06,6796.25
606.614,34.05109,9698.617,340205.0,6949.164,12679.07,12679.07,6796.252
606.5762,34.04087,9719.483,340307.0,6949.165,12679.07,12679.07,6796.252
606.5386,34.03477,9740.343,340286.2,6949.163,12679.07,12679.07,6796.252
606.5012,34.03212,9761.2,340265.3,6949.162,12679.07,12679.07,6796.252
606.4642,34.03195,9782.057,340244.5,6949.161,12679.07,12679.07,6796.252
606.4277,34.03368,9802.915,340223.7,6949.16,12679.07,12679.07,6796.252
606.3919,34.03691,9698.625,340202.8,6949.158,12679.07,12679.07,6796.254
606.3454,34.02435,9726.433,340300.2,6949.159,12679.07,12679.07,6796.254
606.3108,34.01964,9744.967,340279.4,6949.157,12679.07,12679.07,6796.254
606.2791,34.0178,9765.814,340260.9,6949.156,12679.07,12679.07,6796.254
606.2571,34.01791,9779.713,340247.0,6949.156,12679.07,12679.07,6796.254
606.2236,34.01965,9800.563,340226.2,6949.154,12679.07,12679.07,6796.254
606.1905,34.02296,9698.632,340205.3,6949.153,12679.08,12679.08,6796.256
606.1582,34.01319,9719.48,340307.3,6949.154,12679.08,12679.08,6796.256
606.1154,34.00642,9747.27,340279.5,6949.153,12679.08,12679.08,6796.256
606.0835,34.00507,9768.11,340258.7,6949.152,12679.08,12679.08,6796.256
606.0519,34.00595,9788.951,340237.9,6949.151,12679.08,12679.08,6796.256
606.0209,34.00856,9809.793,340217.1,6949.149,12679.08,12679.08,6796.256
605.9905,34.0074,9705.587,340321.3,6949.147,12679.08,12679.08,6796.259
605.9611,33.99891,9724.109,340302.8,6949.149,12679.08,12679.08,6796.259
605.9341,33.9943,9744.944,340282.0,6949.148,12679.08,12679.08,6796.259
605.8952,33.99295,9772.721,340254.2,6949.147,12679.08,12679.08,6796.259
605.8661,33.99446,9793.554,340233.4,6949.146,12679.08,12679.08,6796.259
605.8376,33.99761,9814.39,340212.6,6949.146,12679.08,12679.08,6796.259
605.8098,33.99222,9712.534,340314.5,6949.146,12679.09,12679.09,6796.261
605.7824,33.9855,9733.364,340293.7,6949.146,12679.09,12679.09,6796.261
605.755,33.98251,9754.19,340272.8,6949.145,12679.09,12679.09,6796.261
605.7277,33.98226,9775.017,340252.0,6949.144,12679.09,12679.09,6796.261
605.692,33.985,9802.786,340224.3,6949.143,12679.09,12679.09,6796.261
605.666,33.98876,9698.65,340205.8,6949.142,12679.09,12679.09,6796.263
605.6429,33.97926,9719.478,340307.6,6949.143,12679.09,12679.09,6796.263
605.6097,33.97291,9747.239,340279.9,6949.142,12679.09,12679.09,6796.263
605.5844,33.97191,9768.059,340259.1,6949.141,12679.09,12679.09,6796.263
605.5594,33.97315,9788.879,340238.3,6949.14,12679.09,12679.09,6796.263
605.5349,33.97614,9809.7,340217.5,6949.139,12679.09,12679.09,6796.263
605.511,33.97538,9705.598,340321.6,6949.138,12679.1,12679.1,6796.266
605.4876,33.96739,9726.416,340300.8,6949.14,12679.1,12679.1,6796.266
605.4642,33.96342,9747.23,340280.0,6949.139,12679.1,12679.1,6796.266
605.4409,33.96258,9768.045,340259.2,6949.138,12679.1,12679.1,6796.266
605.4254,33.9633,9781.921,340245.3,6949.138,12679.1,12679.1,6796.266
605.4037,33.96571,9800.423,340226.8,6949.137,12679.1,12679.1,6796.266
605.3826,33.96957,9698.66,340206.0,6949.136,12679.1,12679.1,6796.268
605.3539,33.9583,9726.413,340300.9,6949.137,12679.1,12679.1,6796.268
605.3323,33.95451,9747.223,340280.1,6949.137,12679.1,12679.1,6796.268
605.3035,33.95411,9774.967,340252.3,6949.136,12679.1,12679.1,6796.268
605.2822,33.95625,9795.776,340231.6,6949.135,12679.1,12679.1,6796.268
605.2545,33.96156,9698.665,340203.8,6949.134,12679.11,12679.11,6796.27
605.2345,33.95246,9719.476,340307.9,6949.135,12679.11,12679.11,6796.27
605.2079,33.94662,9747.216,340280.2,6949.135,12679.11,12679.11,6796.27
605.1879,33.94592,9765.708,340261.7,6949.134,12679.11,12679.11,6796.27
605.17,33.94728,9786.512,340240.9,6949.134,12679.11,12679.11,6796.27
605.1508,33.95046,9807.317,340220.1,6949.133,12679.11,12679.11,6796.27
605.1259,33.95155,9705.607,340321.8,6949.131,12679.11,12679.11,6796.272
605.1076,33.9437,9726.411,340301.0,6949.133,12679.11,12679.11,6796.272
605.0893,33.93996,9747.211,340280.3,6949.133,12679.11,12679.11,6796.272
605.0709,33.93942,9768.011,340259.5,6949.132,12679.11,12679.11,6796.272
605.0526,33.94116,9788.811,340238.7,6949.132,12679.11,12679.11,6796.272
605.0289,33.94616,9816.547,340210.9,6949.131,12679.11,12679.11,6796.272
605.0117,33.94146,9712.543,340315.0,6949.133,12679.12,12679.12,6796.274
604.9902,33.93404,9737.963,340289.6,6949.132,12679.12,12679.12,6796.274
604.9739,33.93254,9758.758,340268.8,6949.131,12679.12,12679.12,6796.274
604.9569,33.93357,9779.553,340248.0,6949.131,12679.12,12679.12,6796.274
604.9402,33.93649,9800.351,340227.2,6949.13,12679.12,12679.12,6796.274
604.9186,33.94268,9698.679,340199.5,6949.129,12679.12,12679.12,6796.277
604.8979,33.93158,9726.409,340301.2,6949.131,12679.12,12679.12,6796.277
604.8824,33.92802,9747.202,340280.4,6949.131,12679.12,12679.12,6796.277
604.8615,33.92805,9774.925,340252.7,6949.13,12679.12,12679.12,6796.277
604.8408,33.93179,9802.649,340225.0,6949.129,12679.12,12679.12,6796.277
604.8219,33.93803,9698.683,340199.6,6949.128,12679.13,12679.13,6796.279
604.8084,33.92893,9719.479,340308.2,6949.13,12679.13,12679.13,6796.279
604.7896,33.92329,9747.199,340280.4,6949.13,12679.13,12679.13,6796.279
604.7751,33.92294,9767.988,340259.7,6949.129,12679.13,12679.13,6796.279
604.7607,33.92488,9788.778,340238.9,6949.129,12679.13,12679.13,6796.279
604.7421,33.93014,9816.502,340211.2,6949.128,12679.13,12679.13,6796.279
604.7288,33.92565,9712.549,340315.1,6949.13,12679.13,12679.13,6796.282
604.7111,33.91867,9740.266,340287.4,6949.13,12679.13,12679.13,6796.282
